prefecture,year,entrants_total,national,public,private
北海道,2020,19488,5751,1427,12310
青森県,2020,3455,1375,555,1525
岩手県,2020,2623,1087,466,1070
宮城県,2020,12009,2785,446,8778
秋田県,2020,2048,980,685,383
山形県,2020,2808,1701,144,963
福島県,2020,3334,974,455,1905
茨城県,2020,7302,3847,174,3281
栃木県,2020,4947,948,0,3999
群馬県,2020,7083,1132,1607,4344
埼玉県,2020,30023,1590,400,28033
千葉県,2020,27609,2660,181,24768
東京都,2020,151714,10127,1629,139958
神奈川県,2020,46894,1719,1176,43999
新潟県,2020,6605,2534,735,3336
富山県,2020,2568,1822,477,269
石川県,2020,6793,1781,603,4409
福井県,2020,2454,871,490,1093
山梨県,2020,4323,842,1110,2371
長野県,2020,4008,2031,994,983
岐阜県,2020,5051,1277,198,3576
静岡県,2020,8281,2179,1021,5081
愛知県,2020,43014,4118,1845,37051
三重県,2020,3374,1340,103,1931
滋賀県,2020,7630,957,625,6048
京都府,2020,34470,3828,1072,29570
大阪府,2020,56154,4259,2917,48978
兵庫県,2020,28145,2771,1837,23537
奈良県,2020,5140,764,348,4028
和歌山県,2020,1868,906,181,781
鳥取県,2020,1572,1179,306,87
島根県,2020,1692,1210,482,0
岡山県,2020,9566,2267,571,6728
広島県,2020,13477,2418,1577,9482
山口県,2020,4568,1959,1132,1477
徳島県,2020,2707,1413,0,1294
香川県,2020,2134,1263,90,781
愛媛県,2020,3927,1830,102,1995
高知県,2020,2242,1103,907,232
福岡県,2020,26818,4221,2070,20527
佐賀県,2020,1826,1326,0,500
長崎県,2020,4029,1668,716,1645
熊本県,2020,5776,1711,509,3556
大分県,2020,3207,1084,80,2043
宮崎県,2020,2314,1067,316,931
鹿児島県,2020,3682,2127,0,1555
沖縄県,2020,4251,1563,680,2008
