prefecture,year,entrants_total,national,public,private
北海道,2015,18807,5880,1106,11821
青森県,2015,3248,1407,554,1287
岩手県,2015,2549,1134,467,948
宮城県,2015,11562,2912,437,8213
秋田県,2015,2079,989,679,411
山形県,2015,2727,1754,156,817
福島県,2015,3274,986,458,1830
茨城県,2015,7368,4013,175,3180
栃木県,2015,4752,961,0,3791
群馬県,2015,6591,1148,1630,3813
埼玉県,2015,31391,1615,407,29369
千葉県,2015,25776,2688,175,22913
東京都,2015,148660,10158,1649,136853
神奈川県,2015,48600,1912,1170,45518
新潟県,2015,6085,2616,634,2835
富山県,2015,2378,1881,239,258
石川県,2015,5892,1792,375,3725
福井県,2015,2210,887,475,848
山梨県,2015,4309,880,1102,2327
長野県,2015,3461,2096,81,1284
岐阜県,2015,4577,1291,201,3085
静岡県,2015,8113,2196,993,4924
愛知県,2015,42091,4240,1801,36050
三重県,2015,3246,1365,102,1779
滋賀県,2015,7339,998,614,5727
京都府,2015,33744,3891,806,29047
大阪府,2015,52207,4399,2935,44873
兵庫県,2015,27048,2817,1852,22379
奈良県,2015,5121,778,359,3984
和歌山県,2015,1606,935,182,489
鳥取県,2015,1553,1176,297,80
島根県,2015,1520,1203,317,0
岡山県,2015,8975,2298,463,6214
広島県,2015,13241,2509,1627,9105
山口県,2015,4495,1987,891,1617
徳島県,2015,2655,1442,0,1213
香川県,2015,2098,1277,91,730
愛媛県,2015,3637,1881,102,1654
高知県,2015,2055,1121,934,0
福岡県,2015,25688,4311,2097,19280
佐賀県,2015,1780,1347,0,433
長崎県,2015,3772,1646,723,1403
熊本県,2015,6066,1798,516,3752
大分県,2015,2876,1120,83,1673
宮崎県,2015,2480,1051,316,1113
鹿児島県,2015,3569,2202,0,1367
沖縄県,2015,4236,1643,669,1924
北海道,2016,18716,5865,1140,11711
青森県,2016,3309,1349,560,1400
岩手県,2016,2458,1079,471,908
宮城県,2016,11602,2845,436,8321
秋田県,2016,2074,995,662,417
山形県,2016,2824,1769,150,905
福島県,2016,3253,1001,454,1798
茨城県,2016,7331,4001,175,3155
栃木県,2016,4459,946,0,3513
群馬県,2016,6353,1143,1641,3569
埼玉県,2016,30803,1637,415,28751
千葉県,2016,26116,2667,183,23266
東京都,2016,149860,10228,1628,138004
神奈川県,2016,48328,1742,1151,45435
新潟県,2016,5948,2617,662,2669
富山県,2016,2387,1890,258,239
石川県,2016,5895,1776,371,3748
福井県,2016,2285,888,475,922
山梨県,2016,4269,861,1085,2323
長野県,2016,3496,2076,85,1335
岐阜県,2016,4608,1293,189,3126
静岡県,2016,8000,2198,965,4837
愛知県,2016,42047,4203,1809,36035
三重県,2016,3149,1353,104,1692
滋賀県,2016,7295,1023,630,5642
京都府,2016,33415,3909,886,28620
大阪府,2016,53354,4411,2884,46059
兵庫県,2016,27480,2815,1881,22784
奈良県,2016,4872,773,357,3742
和歌山県,2016,1661,938,182,541
鳥取県,2016,1539,1166,290,83
島根県,2016,1497,1184,313,0
岡山県,2016,9044,2291,481,6272
広島県,2016,13189,2456,1646,9087
山口県,2016,4384,2005,1110,1269
徳島県,2016,2843,1630,0,1213
香川県,2016,2077,1279,90,708
愛媛県,2016,3439,1669,101,1669
高知県,2016,2023,1106,917,0
福岡県,2016,25884,4249,2124,19511
佐賀県,2016,1744,1330,0,414
長崎県,2016,3904,1678,721,1505
熊本県,2016,5981,1802,527,3652
大分県,2016,2987,1124,86,1777
宮崎県,2016,2423,1052,315,1056
鹿児島県,2016,3543,2213,0,1330
沖縄県,2016,4275,1621,697,1957
北海道,2017,19053,5846,1157,12050
青森県,2017,3421,1352,548,1521
岩手県,2017,2625,1091,463,1071
宮城県,2017,11845,2825,438,8582
秋田県,2017,2059,1000,666,393
山形県,2017,2794,1731,151,912
福島県,2017,3351,993,461,1897
茨城県,2017,7285,3925,170,3190
栃木県,2017,4755,951,0,3804
群馬県,2017,6720,1141,1696,3883
埼玉県,2017,30804,1594,405,28805
千葉県,2017,26648,2701,183,23764
東京都,2017,152191,10156,1641,140394
神奈川県,2017,48813,1713,1188,45912
