year,origin_prefecture,destination_prefecture,movers
2025,神奈川県,東京都,23187
2025,埼玉県,東京都,19060
2025,千葉県,東京都,14569
2025,東京都,神奈川県,10115
2025,兵庫県,大阪府,7581
2025,大阪府,京都府,6825
2025,茨城県,東京都,5853
2025,東京都,埼玉県,4742
2025,大阪府,兵庫県,4584
2025,岐阜県,愛知県,4548
2025,東京都,千葉県,4299
2025,滋賀県,京都府,3440
2025,京都府,大阪府,3397
2025,静岡県,東京都,3225
2025,奈良県,大阪府,3052
2025,三重県,愛知県,2903
2025,兵庫県,京都府,2493
2025,栃木県,東京都,2429
2025,長野県,東京都,2315
2025,茨城県,千葉県,2305
2025,北海道,東京都,2247
2025,群馬県,東京都,2174
2025,千葉県,神奈川県,2080
2025,静岡県,神奈川県,2067
2025,静岡県,愛知県,2015
2025,埼玉県,千葉県,1941
2025,山梨県,東京都,1902
2025,埼玉県,神奈川県,1884
2025,愛知県,東京都,1844
2025,新潟県,東京都,1771
2025,和歌山県,大阪府,1766
2025,千葉県,埼玉県,1589
2025,福島県,東京都,1458
2025,奈良県,京都府,1441
2025,佐賀県,福岡県,1369
2025,茨城県,埼玉県,1361
2025,愛知県,京都府,1307
2025,福岡県,東京都,1298
2025,宮城県,東京都,1284
2025,大阪府,奈良県,1270
2025,熊本県,福岡県,1254
2025,鹿児島県,福岡県,1213
2025,沖縄県,東京都,1213
2025,愛知県,岐阜県,1210
2025,滋賀県,大阪府,1193
2025,群馬県,埼玉県,1190
2025,茨城県,神奈川県,1148
2025,長崎県,福岡県,1115
2025,京都府,滋賀県,1103
2025,栃木県,埼玉県,1087
2025,大分県,福岡県,1084
2025,大阪府,東京都,1016
2025,福島県,宮城県,994
2025,大阪府,滋賀県,989
2025,広島県,大阪府,962
2025,山口県,福岡県,958
2025,富山県,石川県,943
2025,長野県,神奈川県,937
2025,広島県,岡山県,852
2025,岩手県,宮城県,847
2025,岡山県,大阪府,834
2025,兵庫県,東京都,833
