year,origin_prefecture,destination_prefecture,movers
2015,神奈川県,東京都,21550
2015,埼玉県,東京都,16923
2015,千葉県,東京都,13230
2015,東京都,神奈川県,10725
2015,大阪府,京都府,7385
2015,兵庫県,大阪府,7173
2015,東京都,埼玉県,6562
2015,大阪府,兵庫県,5422
2015,茨城県,東京都,5077
2015,岐阜県,愛知県,4707
2015,東京都,千葉県,4657
2015,静岡県,東京都,3578
2015,京都府,大阪府,3220
2015,奈良県,大阪府,3192
2015,三重県,愛知県,3053
2015,兵庫県,京都府,2773
2015,滋賀県,京都府,2701
2015,栃木県,東京都,2604
2015,群馬県,東京都,2483
2015,静岡県,神奈川県,2332
2015,長野県,東京都,2243
2015,千葉県,神奈川県,2187
2015,新潟県,東京都,2100
2015,埼玉県,神奈川県,2043
2015,北海道,東京都,2028
2015,千葉県,埼玉県,2009
2015,愛知県,東京都,1970
2015,静岡県,愛知県,1905
2015,埼玉県,千葉県,1860
2015,大阪府,奈良県,1845
2015,茨城県,千葉県,1814
2015,和歌山県,大阪府,1796
2015,奈良県,京都府,1660
2015,福島県,東京都,1631
2015,山梨県,東京都,1583
2015,佐賀県,福岡県,1464
2015,群馬県,埼玉県,1447
2015,茨城県,埼玉県,1437
2015,京都府,滋賀県,1371
2015,大阪府,滋賀県,1366
2015,福岡県,東京都,1359
2015,愛知県,岐阜県,1319
2015,熊本県,福岡県,1254
2015,滋賀県,大阪府,1231
2015,栃木県,埼玉県,1189
2015,大阪府,東京都,1187
2015,宮城県,東京都,1174
2015,茨城県,神奈川県,1159
2015,愛知県,京都府,1132
2015,長崎県,福岡県,1105
2015,大分県,福岡県,1085
2015,鹿児島県,福岡県,1048
2015,長野県,神奈川県,1008
2015,神奈川県,千葉県,1004
2015,福島県,宮城県,997
2015,兵庫県,東京都,982
2015,広島県,東京都,944
2015,神奈川県,埼玉県,942
2015,山口県,福岡県,914
2015,広島県,岡山県,866
2015,山形県,宮城県,863
2015,新潟県,神奈川県,816
2015,富山県,石川県,814
2015,広島県,大阪府,812
2015,京都府,兵庫県,798
2015,兵庫県,岡山県,780
2015,宮崎県,福岡県,777
2015,福岡県,熊本県,774
2015,千葉県,茨城県,772
2015,岩手県,宮城県,771
2015,群馬県,神奈川県,756
