prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
北海道,2018,40859,18577,8883,1605,241,9760,1792,1,0.454661,0.23887
青森県,2018,11717,5498,1696,285,207,3723,299,9,0.469233,0.317743
岩手県,2018,11162,4976,2251,272,196,3206,261,0,0.445798,0.287225
宮城県,2018,19712,9719,3219,1101,232,4851,586,4,0.49305,0.246094
秋田県,2018,8313,3769,1407,262,52,2492,323,8,0.453386,0.299771
山形県,2018,9943,4501,1729,359,191,3007,156,0,0.45268,0.302424
福島県,2018,16967,7862,2900,504,112,4960,629,0,0.46337,0.292332
茨城県,2018,25648,12974,4543,1138,239,5659,1092,3,0.505848,0.220641
栃木県,2018,17139,8999,2943,314,139,3943,800,1,0.52506,0.23006
群馬県,2018,17071,8863,3168,688,174,3469,705,4,0.519185,0.20321
埼玉県,2018,56970,32572,9679,3477,197,8291,2754,0,0.57174,0.145533
千葉県,2018,49149,27381,8828,3292,105,6995,2543,5,0.557102,0.142322
東京都,2018,101782,65863,10839,7842,312,7056,9860,10,0.647099,0.069325
神奈川県,2018,66239,40406,10587,2308,383,6248,6303,4,0.610003,0.094325
新潟県,2018,18890,8763,4924,585,207,3797,613,1,0.463896,0.201006
富山県,2018,9195,4770,1544,341,153,2040,347,0,0.51876,0.22186
石川県,2018,10357,5702,1435,409,106,2259,444,2,0.550546,0.218113
福井県,2018,7365,4183,1120,174,22,1636,230,0,0.567957,0.222132
山梨県,2018,8341,4770,1353,500,103,1413,202,0,0.571874,0.169404
長野県,2018,18844,8996,4018,1274,216,3628,705,7,0.477393,0.192528
岐阜県,2018,18240,10121,2466,789,86,4339,439,0,0.554879,0.237884
静岡県,2018,32434,17176,5584,1006,145,7359,1160,4,0.529568,0.226892
愛知県,2018,64684,37655,8045,3835,87,12995,2056,11,0.582138,0.2009
三重県,2018,15695,7937,2279,663,63,4376,375,2,0.505702,0.278815
滋賀県,2018,12701,6940,2129,481,69,2506,576,0,0.546414,0.197307
京都府,2018,23074,15201,3162,1124,90,2091,1390,16,0.658793,0.090621
大阪府,2018,75043,44653,10978,4830,168,9470,4909,35,0.595032,0.126194
兵庫県,2018,46333,28086,6123,3096,76,7002,1937,13,0.606177,0.151123
奈良県,2018,11983,6972,1697,940,10,1489,874,1,0.581824,0.124259
和歌山県,2018,8793,4201,1580,491,37,2086,398,0,0.477766,0.237234
鳥取県,2018,4945,2166,861,474,55,1294,95,0,0.438018,0.261678
島根県,2018,6051,2828,1208,204,79,1436,296,0,0.467361,0.237316
岡山県,2018,17178,8760,2795,721,107,4097,689,9,0.509955,0.238503
広島県,2018,23225,14085,2576,2132,169,3666,596,1,0.606459,0.157847
山口県,2018,11291,4976,1869,790,81,3340,227,8,0.440705,0.295811
徳島県,2018,6263,3259,1065,236,86,1462,155,0,0.520358,0.233434
香川県,2018,8611,4491,1277,760,92,1641,348,2,0.521542,0.19057
愛媛県,2018,11103,5961,2100,320,43,2505,166,8,0.536882,0.225615
高知県,2018,6151,3033,1038,694,88,1087,210,1,0.493091,0.176719
福岡県,2018,41586,22231,7037,2562,161,7894,1683,18,0.534579,0.189823
佐賀県,2018,8051,3598,1249,498,55,2532,113,6,0.446901,0.314495
長崎県,2018,12740,5738,2034,716,206,3779,266,1,0.450392,0.296625
熊本県,2018,15405,7217,2656,1127,52,4009,344,0,0.468484,0.26024
大分県,2018,10083,4826,1957,383,76,2674,167,0,0.478627,0.265199
宮崎県,2018,9990,4592,1636,639,56,2833,234,0,0.45966,0.283584
鹿児島県,2018,14489,6405,2739,847,167,3929,400,2,0.442059,0.271171
沖縄県,2018,14573,5789,3576,328,244,2440,2194,2,0.397241,0.167433
