prefecture,year,entrants_from_prefecture,local_entrants,outbound_entrants,inbound_entrants,net_inflow,out_of_prefecture_rate
北海道,2018,20681,13836,6845,4909,-1936,0.33098
青森県,2018,5182,2037,3145,1321,-1824,0.606909
岩手県,2018,4654,1350,3304,1234,-2070,0.709927
宮城県,2018,10132,5914,4218,5957,1739,0.416305
秋田県,2018,3595,872,2723,1229,-1494,0.757441
山形県,2018,4224,900,3324,1911,-1413,0.786932
福島県,2018,7502,1528,5974,1662,-4312,0.796321
茨城県,2018,14942,3034,11908,4078,-7830,0.796948
栃木県,2018,9100,2184,6916,2447,-4469,0.76
群馬県,2018,9081,2783,6298,3668,-2630,0.693536
埼玉県,2018,34353,10664,23689,19150,-4539,0.689576
千葉県,2018,29744,9941,19803,16115,-3688,0.665781
東京都,2018,76555,50296,26259,94064,67805,0.343008
神奈川県,2018,44012,17631,26381,29018,2637,0.599405
新潟県,2018,9260,3358,5902,2610,-3292,0.637365
富山県,2018,4585,820,3765,1608,-2157,0.821156
石川県,2018,5697,2674,3023,3872,849,0.53063
福井県,2018,4071,1321,2750,1068,-1682,0.67551
山梨県,2018,5124,1361,3763,2851,-912,0.734387
長野県,2018,9216,1577,7639,2250,-5389,0.828885
岐阜県,2018,9691,1952,7739,2736,-5003,0.798576
静岡県,2018,17229,5069,12160,3088,-9072,0.705787
愛知県,2018,39270,27941,11329,14006,2677,0.28849
三重県,2018,7877,1720,6157,1468,-4689,0.781643
滋賀県,2018,6903,1426,5477,5530,53,0.793423
京都府,2018,15796,8059,7737,24539,16802,0.489808
大阪府,2018,47113,26860,20253,26079,5826,0.429881
兵庫県,2018,29951,13864,16087,12750,-3337,0.537111
奈良県,2018,8140,1268,6872,3787,-3085,0.844226
和歌山県,2018,4272,522,3750,1162,-2588,0.877809
鳥取県,2018,2190,310,1880,1227,-653,0.858447
島根県,2018,2800,501,2299,1182,-1117,0.821071
岡山県,2018,9002,3952,5050,5101,51,0.560986
広島県,2018,14739,7790,6949,5555,-1394,0.47147
山口県,2018,5123,1339,3784,2780,-1004,0.73863
徳島県,2018,3203,1193,2010,1470,-540,0.627537
香川県,2018,4778,837,3941,1254,-2687,0.824822
愛媛県,2018,6232,2076,4156,1733,-2423,0.666881
高知県,2018,2845,605,2240,1465,-775,0.787346
福岡県,2018,22583,14652,7931,10796,2865,0.351193
佐賀県,2018,3608,605,3003,1265,-1738,0.832317
長崎県,2018,5583,1896,3687,1923,-1764,0.660398
熊本県,2018,7374,3426,3948,2486,-1462,0.535395
大分県,2018,4132,1041,3091,1728,-1363,0.748064
宮崎県,2018,4269,1109,3160,1131,-2029,0.74022
鹿児島県,2018,6206,1956,4250,1426,-2824,0.684821
沖縄県,2018,6315,3329,2986,866,-2120,0.472842
