prefecture,year,entrants_from_prefecture,local_entrants,outbound_entrants,inbound_entrants,net_inflow,out_of_prefecture_rate
北海道,2015,20339,13885,6454,4743,-1711,0.317321
青森県,2015,5021,1873,3148,1338,-1810,0.626967
岩手県,2015,4519,1217,3302,1307,-1995,0.730693
宮城県,2015,10125,5800,4325,5681,1356,0.42716
秋田県,2015,3670,871,2799,1169,-1630,0.76267
山形県,2015,4427,858,3569,1847,-1722,0.806189
福島県,2015,7653,1472,6181,1748,-4433,0.807657
茨城県,2015,14934,2986,11948,4225,-7723,0.800054
栃木県,2015,9192,2113,7079,2538,-4541,0.770126
群馬県,2015,9241,2649,6592,3676,-2916,0.713343
埼玉県,2015,33902,10547,23355,19947,-3408,0.688897
千葉県,2015,29206,9417,19789,15596,-4193,0.677566
東京都,2015,76342,49949,26393,94254,67861,0.345721
神奈川県,2015,42984,17299,25685,30096,4411,0.597548
新潟県,2015,9561,3461,6100,2527,-3573,0.638009
富山県,2015,4593,883,3710,1451,-2259,0.807751
石川県,2015,5459,2340,3119,3501,382,0.57135
福井県,2015,3884,1115,2769,1070,-1699,0.712925
山梨県,2015,4947,1354,3593,2855,-738,0.726299
長野県,2015,9113,1582,7531,1789,-5742,0.826402
岐阜県,2015,9551,1809,7742,2629,-5113,0.810596
静岡県,2015,17407,4830,12577,3139,-9438,0.722525
愛知県,2015,37935,27310,10625,14153,3528,0.280084
三重県,2015,8076,1718,6358,1424,-4934,0.787271
滋賀県,2015,6759,1413,5346,5798,452,0.790945
京都府,2015,15645,7824,7821,25201,17380,0.499904
大阪府,2015,46210,25638,20572,25432,4860,0.445185
兵庫県,2015,29310,13138,16172,13088,-3084,0.551757
奈良県,2015,8136,1199,6937,3840,-3097,0.85263
和歌山県,2015,4280,447,3833,1144,-2689,0.895561
鳥取県,2015,2162,322,1840,1219,-621,0.851064
島根県,2015,2695,387,2308,1108,-1200,0.856401
岡山県,2015,8799,3814,4985,5006,21,0.566542
広島県,2015,14701,7748,6953,5349,-1604,0.472961
山口県,2015,5038,1254,3784,2810,-974,0.751092
徳島県,2015,3109,1124,1985,1517,-468,0.638469
香川県,2015,4422,784,3638,1289,-2349,0.822705
愛媛県,2015,6196,2021,4175,1570,-2605,0.673822
高知県,2015,2886,581,2305,1459,-846,0.798683
福岡県,2015,22820,14545,8275,10308,2033,0.362621
佐賀県,2015,3560,493,3067,1272,-1795,0.861517
長崎県,2015,5426,1791,3635,1874,-1761,0.669923
熊本県,2015,7389,3391,3998,2624,-1374,0.541075
大分県,2015,4156,956,3200,1588,-1612,0.769971
宮崎県,2015,4280,1197,3083,1255,-1828,0.720327
鹿児島県,2015,5989,1967,4022,1462,-2560,0.671565
沖縄県,2015,6427,3333,3094,855,-2239,0.481407
北海道,2016,20555,13794,6761,4705,-2056,0.328922
青森県,2016,4949,1845,3104,1401,-1703,0.627197
岩手県,2016,4612,1187,3425,1256,-2169,0.742628
宮城県,2016,10145,5827,4318,5699,1381,0.425628
秋田県,2016,3600,844,2756,1193,-1563,0.765556
山形県,2016,4242,856,3386,1942,-1444,0.798208
福島県,2016,7668,1451,6217,1731,-4486,0.810772
茨城県,2016,14919,2852,12067,4217,-7850,0.808834
栃木県,2016,9211,2028,7183,2305,-4878,0.779828
群馬県,2016,9192,2685,6507,3427,-3080,0.707898
埼玉県,2016,33864,10495,23369,19365,-4004,0.690084
千葉県,2016,29188,9482,19706,15685,-4021,0.67514
東京都,2016,76039,49926,26113,94965,68852,0.343416
神奈川県,2016,43077,17430,25647,29513,3866,0.595376
新潟県,2016,9459,3305,6154,2540,-3614,0.650597
富山県,2016,4527,800,3727,1557,-2170,0.823283
石川県,2016,5435,2353,3082,3485,403,0.567065
福井県,2016,3817,1100,2717,1130,-1587,0.711816
山梨県,2016,4930,1312,3618,2884,-734,0.733874
長野県,2016,9194,1568,7626,1833,-5793,0.829454
岐阜県,2016,9292,1752,7540,2716,-4824,0.811451
静岡県,2016,16890,4716,12174,3138,-9036,0.720782
愛知県,2016,38244,27288,10956,14086,3130,0.286476
三重県,2016,7969,1618,6351,1411,-4940,0.796963
滋賀県,2016,6882,1435,5447,5718,271,0.791485
京都府,2016,15494,7879,7615,24724,17109,0.491481
大阪府,2016,47036,26459,20577,25568,4991,0.437473
兵庫県,2016,29241,13323,15918,13268,-2650,0.544373
奈良県,2016,7919,1197,6722,3577,-3145,0.848845
和歌山県,2016,4373,490,3883,1155,-2728,0.887949
鳥取県,2016,2147,286,1861,1240,-621,0.866791
島根県,2016,2630,417,2213,1058,-1155,0.841445
岡山県,2016,8823,3813,5010,5037,27,0.567834
広島県,2016,14672,7698,6974,5344,-1630,0.475327
山口県,2016,4953,1316,3637,2674,-963,0.734302
徳島県,2016,3247,1219,2028,1599,-429,0.624577
香川県,2016,4461,785,3676,1273,-2403,0.82403
愛媛県,2016,6296,1924,4372,1469,-2903,0.694409
高知県,2016,2766,577,2189,1432,-757,0.791396
福岡県,2016,22829,14741,8088,10335,2247,0.354286
佐賀県,2016,3532,492,3040,1244,-1796,0.860702
長崎県,2016,5551,1862,3689,1937,-1752,0.664565
熊本県,2016,7381,3320,4061,2605,-1456,0.550196
大分県,2016,4088,944,3144,1715,-1429,0.76908
宮崎県,2016,4439,1159,3280,1237,-2043,0.738905
鹿児島県,2016,5988,1932,4056,1469,-2587,0.677355
沖縄県,2016,6097,3311,2786,908,-1878,0.456946
北海道,2017,20912,14053,6859,4746,-2113,0.327993
青森県,2017,5056,1948,3108,1416,-1692,0.614715
岩手県,2017,4735,1359,3376,1235,-2141,0.712988
宮城県,2017,10132,5888,4244,5874,1630,0.418871
秋田県,2017,3592,864,2728,1161,-1567,0.759465
山形県,2017,4240,888,3352,1883,-1469,0.790566
福島県,2017,7785,1577,6208,1704,-4504,0.797431
茨城県,2017,14793,2963,11830,4004,-7826,0.799703
栃木県,2017,9085,2110,6975,2484,-4491,0.767749
群馬県,2017,9139,2634,6505,3686,-2819,0.711785
埼玉県,2017,34585,10417,24168,19265,-4903,0.6988
千葉県,2017,29574,9787,19787,15750,-4037,0.669067
東京都,2017,77103,50871,26232,95661,69429,0.34022
神奈川県,2017,43758,17758,26000,29445,3445,0.594177
新潟県,2017,9169,3261,5908,2604,-3304,0.644345
富山県,2017,4559,933,3626,1505,-2121,0.79535
石川県,2017,5658,2529,3129,3487,358,0.553022
福井県,2017,4092,1283,2809,1089,-1720,0.686461
山梨県,2017,5041,1304,3737,2855,-882,0.741321
長野県,2017,8980,1448,7532,2084,-5448,0.838753
岐阜県,2017,9725,1919,7806,2624,-5182,0.802674
静岡県,2017,17323,4902,12421,3075,-9346,0.717024
愛知県,2017,38905,27993,10912,14405,3493,0.280478
三重県,2017,8299,1704,6595,1438,-5157,0.794674
滋賀県,2017,7182,1530,5652,5732,80,0.786967
京都府,2017,15884,7994,7890,24947,17057,0.496726
大阪府,2017,47347,27029,20318,26413,6095,0.42913
兵庫県,2017,30147,13790,16357,13341,-3016,0.542575
奈良県,2017,8016,1194,6822,3702,-3120,0.851048
和歌山県,2017,4324,492,3832,1131,-2701,0.886216
鳥取県,2017,2115,316,1799,1262,-537,0.850591
島根県,2017,2650,391,2259,1110,-1149,0.852453
岡山県,2017,9183,4051,5132,5063,-69,0.558859
広島県,2017,14995,7821,7174,5512,-1662,0.478426
山口県,2017,5069,1192,3877,2648,-1229,0.764845
徳島県,2017,3318,1263,2055,1437,-618,0.619349
香川県,2017,4733,845,3888,1250,-2638,0.821466
愛媛県,2017,6373,2095,4278,1652,-2626,0.671269
高知県,2017,2685,544,2141,1485,-656,0.797393
福岡県,2017,23157,15162,7995,10440,2445,0.345252
佐賀県,2017,3566,542,3024,1217,-1807,0.848009
長崎県,2017,5471,1857,3614,1927,-1687,0.660574
熊本県,2017,7453,3348,4105,2451,-1654,0.550785
大分県,2017,4029,997,3032,1776,-1256,0.752544
宮崎県,2017,4267,1112,3155,1188,-1967,0.739395
鹿児島県,2017,6184,2080,4104,1300,-2804,0.663648
沖縄県,2017,6304,3427,2877,763,-2114,0.456377
北海道,2018,20681,13836,6845,4909,-1936,0.33098
青森県,2018,5182,2037,3145,1321,-1824,0.606909
岩手県,2018,4654,1350,3304,1234,-2070,0.709927
宮城県,2018,10132,5914,4218,5957,1739,0.416305
秋田県,2018,3595,872,2723,1229,-1494,0.757441
山形県,2018,4224,900,3324,1911,-1413,0.786932
福島県,2018,7502,1528,5974,1662,-4312,0.796321
茨城県,2018,14942,3034,11908,4078,-7830,0.796948
栃木県,2018,9100,2184,6916,2447,-4469,0.76
群馬県,2018,9081,2783,6298,3668,-2630,0.693536
埼玉県,2018,34353,10664,23689,19150,-4539,0.689576
千葉県,2018,29744,9941,19803,16115,-3688,0.665781
東京都,2018,76555,50296,26259,94064,67805,0.343008
神奈川県,2018,44012,17631,26381,29018,2637,0.599405
新潟県,2018,9260,3358,5902,2610,-3292,0.637365
富山県,2018,4585,820,3765,1608,-2157,0.821156
石川県,2018,5697,2674,3023,3872,849,0.53063
福井県,2018,4071,1321,2750,1068,-1682,0.67551
山梨県,2018,5124,1361,3763,2851,-912,0.734387
長野県,2018,9216,1577,7639,2250,-5389,0.828885
岐阜県,2018,9691,1952,7739,2736,-5003,0.798576
静岡県,2018,17229,5069,12160,3088,-9072,0.705787
愛知県,2018,39270,27941,11329,14006,2677,0.28849
三重県,2018,7877,1720,6157,1468,-4689,0.781643
