prefecture,year,high_schools,high_national,high_public,high_private,universities,university_national,university_public,university_private
北海道,2025,268,0,217,51,38,7,7,24
青森県,2025,63,0,46,17,10,1,2,7
岩手県,2025,76,0,63,13,6,1,1,4
宮城県,2025,96,0,77,19,15,2,1,12
秋田県,2025,50,0,45,5,7,1,3,3
山形県,2025,58,0,44,14,8,1,3,4
福島県,2025,95,0,77,18,8,1,2,5
茨城県,2025,117,0,93,24,11,3,1,7
栃木県,2025,74,0,60,14,9,1,0,8
群馬県,2025,76,0,63,13,15,1,4,10
埼玉県,2025,191,1,142,48,28,1,1,26
千葉県,2025,181,0,127,54,27,1,1,25
東京都,2025,430,6,187,237,143,11,2,130
神奈川県,2025,227,0,148,79,33,2,3,28
新潟県,2025,99,0,83,16,22,3,4,15
富山県,2025,49,0,39,10,5,1,1,3
石川県,2025,56,1,45,10,14,2,4,8
福井県,2025,32,0,25,7,6,1,2,3
山梨県,2025,40,0,29,11,7,1,2,4
長野県,2025,99,0,82,17,11,1,4,6
岐阜県,2025,82,0,66,16,13,1,3,9
静岡県,2025,136,0,93,43,14,2,4,8
愛知県,2025,219,2,162,55,53,4,3,46
三重県,2025,72,0,59,13,7,1,1,5
滋賀県,2025,56,0,46,10,9,2,1,6
京都府,2025,103,1,62,40,34,3,4,27
大阪府,2025,245,1,150,94,58,2,3,53
兵庫県,2025,211,0,159,52,35,2,4,29
奈良県,2025,49,0,34,15,10,3,2,5
和歌山県,2025,46,0,37,9,5,1,1,3
鳥取県,2025,32,0,24,8,3,1,1,1
島根県,2025,47,0,37,10,2,1,1,0
岡山県,2025,86,0,63,23,18,1,2,15
広島県,2025,126,2,89,35,20,1,5,14
山口県,2025,73,0,53,20,10,1,4,5
徳島県,2025,36,0,33,3,4,2,0,2
香川県,2025,40,0,30,10,4,1,1,2
愛媛県,2025,64,1,52,11,5,1,1,3
高知県,2025,43,0,34,9,6,1,2,3
福岡県,2025,163,0,104,59,34,3,4,27
佐賀県,2025,44,0,35,9,2,1,0,1
長崎県,2025,79,0,57,22,8,1,1,6
熊本県,2025,73,0,52,21,9,1,1,7
大分県,2025,54,0,40,14,5,1,1,3
宮崎県,2025,51,0,36,15,7,1,2,4
鹿児島県,2025,89,0,68,21,6,2,0,4
沖縄県,2025,65,0,59,6,8,1,3,4
